2024-09-16 10:09:37.043 [main] INFO  com.example.todoNew.LogManager - User registered: testuser
2024-09-16 10:09:37.045 [main] INFO  com.example.todoNew.LogManager - Начало UserLogin
2024-09-16 10:09:37.054 [main] INFO  com.example.todoNew.LogManager - Вход выполнен для пользователя: testuser
2024-09-16 10:09:37.054 [main] INFO  com.example.todoNew.LogManager - Завершение UserLogin
2024-09-16 10:09:37.054 [main] INFO  com.example.todoNew.LogManager - Начало TaskCreation сохраним пятая задача
2024-09-16 10:09:37.056 [main] INFO  com.example.todoNew.LogManager - Вызов saveTask 
2024-09-16 10:09:37.058 [main] INFO  com.example.todoNew.LogManager - Сохраним задачу в таблицу
2024-09-16 10:09:37.059 [main] INFO  com.example.todoNew.LogManager - Получение задач для пользователя: testuser
2024-09-16 10:09:37.067 [main] INFO  com.example.todoNew.LogManager - задача: Task(id=5, name=пятая задача, description=This is a test task 5., status=pending, createdAt=2024 10:09:37, updatedAt=, username=testuser, userId=1726470577040)
2024-09-16 10:09:37.071 [main] INFO  com.example.todoNew.LogManager - Завершение получения задач для пользователя: testuser. Всего задач: 1
2024-09-16 10:09:37.071 [main] INFO  com.example.todoNew.LogManager - Тестовая задача успешно добавлена: Task(id=5, name=пятая задача, description=This is a test task 5., status=pending, createdAt=2024 10:09:37, updatedAt=, username=testuser, userId=1726470577040)
2024-09-16 10:09:37.071 [main] INFO  com.example.todoNew.LogManager - Завершение TaskCreation
2024-09-16 10:09:37.071 [main] INFO  com.example.todoNew.LogManager - Начало TaskCreation сохраним четвертая задача
2024-09-16 10:09:37.073 [main] INFO  com.example.todoNew.LogManager - Вызов saveTask 
2024-09-16 10:09:37.074 [main] INFO  com.example.todoNew.LogManager - Сохраним задачу в таблицу
2024-09-16 10:09:37.074 [main] INFO  com.example.todoNew.LogManager - Получение задач для пользователя: testuser
2024-09-16 10:09:37.075 [main] INFO  com.example.todoNew.LogManager - задача: Task(id=4, name=четвертая задача, description=This is a test task 4., status=pending, createdAt=2024 10:09:37, updatedAt=, username=testuser, userId=1726470577040)
2024-09-16 10:09:37.075 [main] INFO  com.example.todoNew.LogManager - задача: Task(id=5, name=пятая задача, description=This is a test task 5., status=pending, createdAt=2024 10:09:37, updatedAt=, username=testuser, userId=1726470577040)
2024-09-16 10:09:37.075 [main] INFO  com.example.todoNew.LogManager - Завершение получения задач для пользователя: testuser. Всего задач: 2
2024-09-16 10:09:37.075 [main] INFO  com.example.todoNew.LogManager - Тестовая задача успешно добавлена: Task(id=4, name=четвертая задача, description=This is a test task 4., status=pending, createdAt=2024 10:09:37, updatedAt=, username=testuser, userId=1726470577040)
2024-09-16 10:09:37.075 [main] INFO  com.example.todoNew.LogManager - Завершение TaskCreation
2024-09-16 10:09:37.075 [main] INFO  com.example.todoNew.LogManager - Начало TaskCreation сохраним восьмая задача
2024-09-16 10:09:37.077 [main] INFO  com.example.todoNew.LogManager - Вызов saveTask 
2024-09-16 10:09:37.078 [main] INFO  com.example.todoNew.LogManager - Сохраним задачу в таблицу
2024-09-16 10:09:37.078 [main] INFO  com.example.todoNew.LogManager - Получение задач для пользователя: testuser
2024-09-16 10:09:37.078 [main] INFO  com.example.todoNew.LogManager - задача: Task(id=4, name=четвертая задача, description=This is a test task 4., status=pending, createdAt=2024 10:09:37, updatedAt=, username=testuser, userId=1726470577040)
2024-09-16 10:09:37.078 [main] INFO  com.example.todoNew.LogManager - задача: Task(id=5, name=пятая задача, description=This is a test task 5., status=pending, createdAt=2024 10:09:37, updatedAt=, username=testuser, userId=1726470577040)
2024-09-16 10:09:37.079 [main] INFO  com.example.todoNew.LogManager - задача: Task(id=8, name=восьмая задача, description=This is a test task 8, status=pending, createdAt=2024 10:09:37, updatedAt=, username=testuser, userId=1726470577040)
2024-09-16 10:09:37.079 [main] INFO  com.example.todoNew.LogManager - Завершение получения задач для пользователя: testuser. Всего задач: 3
2024-09-16 10:09:37.079 [main] INFO  com.example.todoNew.LogManager - Тестовая задача успешно добавлена: Task(id=8, name=восьмая задача, description=This is a test task 8, status=pending, createdAt=2024 10:09:37, updatedAt=, username=testuser, userId=1726470577040)
2024-09-16 10:09:37.079 [main] INFO  com.example.todoNew.LogManager - Завершение TaskCreation
2024-09-16 10:09:37.079 [main] INFO  com.example.todoNew.LogManager - Начало теста удаления задач
2024-09-16 10:09:37.083 [main] INFO  com.example.todoNew.LogManager - Задача с ID 4 удалена.
2024-09-16 10:09:37.083 [main] INFO  com.example.todoNew.LogManager - Завершение теста удаления задач
